status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
implemented,store,99,STA,ABS_Y,5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+Y)); ; write(TMP+Y, A); ; prefetch();",mode-dependent,no,write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=sta_aby; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,transfer,9A,TXS,IMP,2,"read_pc(); ; SP = set_l(SP, X); ; prefetch();",no,no,internal,backlog,high (mame opcode map),mame_handler=txs_imp; cycles_source=mame_seq_derived
planned,nop,9B,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,store,9C,STZ,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; write(TMP, 0x00); ; prefetch();",no,no,write,backlog,high (mame opcode map),mame_handler=stz_aba; cycles_source=mame_seq_derived
implemented,store,9D,STA,ABS_X,5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; write(TMP+X, A); ; prefetch();",mode-dependent,no,write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=sta_abx; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,store,9E,STZ,ABS_X,5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; write(TMP+X, 0x00); ; prefetch();",mode-dependent,no,write,backlog,high (mame opcode map),mame_handler=stz_abx; cycles_source=mame_seq_derived
planned,nop,9F,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,load,A0,LDY,IMM,2,Y = read_pc(); ; PC++; ; set_nz(Y); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldy_imm; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,A1,LDA,IND_X,6,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; A = read(TMP); ; set_nz(A); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_idx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,A2,LDX,IMM,2,X = read_pc(); ; PC++; ; set_nz(X); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldx_imm; cycles_source=mame_seq_derived; micro-queued in scheduler
