status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
in_progress,alu,C5,CMP,ZPG,3,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cmp_zpg; cycles_source=mame_seq_derived
planned,inc_dec,C6,DEC,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=dec_zpg; cycles_source=mame_seq_derived
planned,misc,C7,DCP,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; write(TMP, TMP2); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=dcp_zpg; cycles_source=mame_seq_derived
planned,inc_dec,C8,INY,IMP,2,read_pc(); ; Y++; ; set_nz(Y); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=iny_imp; cycles_source=mame_seq_derived
in_progress,alu,C9,CMP,IMM,2,"TMP = read_pc(); ; PC++; ; do_cmp(A, TMP); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cmp_imm; cycles_source=mame_seq_derived
planned,inc_dec,CA,DEX,IMP,2,read_pc(); ; X--; ; set_nz(X); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=dex_imp; cycles_source=mame_seq_derived
planned,misc,CB,SBX,IMM,2,TMP2 = read_pc(); ; PC++; ; X &= A; ; if(X < TMP2) ; P &= ~F_C; ; else ; P |= F_C; ; X -= TMP2; ; set_nz(X); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=sbx_imm; cycles_source=mame_seq_derived
in_progress,alu,CC,CPY,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; do_cmp(Y, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cpy_aba; cycles_source=mame_seq_derived
in_progress,alu,CD,CMP,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cmp_aba; cycles_source=mame_seq_derived
planned,inc_dec,CE,DEC,ABS,6,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=dec_aba; cycles_source=mame_seq_derived
